iter	Passed	Remaining
0	47	47753
1	48	24432
2	50	16647
3	51	12748
4	52	10385
5	53	8790
6	54	7683
7	54	6819
8	55	6135
9	56	5587
10	57	5156
11	58	4795
12	58	4476
13	59	4189
14	60	3941
15	60	3720
16	61	3531
17	61	3359
18	62	3201
19	62	3060
20	62	2932
21	63	2815
22	63	2708
23	64	2611
24	64	2518
25	64	2434
26	65	2357
27	65	2284
28	66	2217
29	66	2153
30	67	2094
31	67	2039
32	67	1987
33	68	1939
34	68	1891
35	68	1847
36	69	1804
37	70	1773
38	70	1738
39	71	1704
40	71	1670
41	72	1642
42	72	1612
43	72	1582
44	73	1554
45	73	1526
46	73	1500
47	74	1474
48	74	1449
49	75	1426
50	75	1404
51	75	1382
52	76	1361
53	76	1341
54	76	1322
55	77	1303
56	77	1285
57	78	1267
58	78	1250
59	78	1233
60	79	1218
61	79	1202
62	79	1188
63	80	1173
64	80	1159
65	80	1145
66	81	1132
67	81	1121
68	82	1108
69	82	1097
70	82	1085
71	83	1073
72	83	1062
73	84	1052
74	84	1041
75	84	1031
76	85	1021
77	85	1011
78	85	1001
79	86	995
80	86	986
81	87	977
82	87	966
83	87	957
84	88	949
85	88	941
86	88	933
87	89	926
88	89	918
89	90	911
90	90	903
91	90	896
92	91	889
93	91	882
94	91	875
95	92	868
96	92	862
97	93	856
98	93	849
99	93	844
100	94	838
101	94	832
102	94	826
103	95	821
104	95	815
105	95	809
106	96	804
107	96	798
108	97	793
109	97	788
110	97	783
111	98	778
112	98	773
113	98	768
114	99	764
115	99	759
116	99	754
117	100	749
118	100	747
119	101	743
120	101	739
121	102	734
122	102	730
123	102	727
124	103	723
125	103	719
126	104	715
127	104	712
128	105	709
129	105	705
130	105	702
131	106	698
132	106	695
133	107	691
134	107	688
135	107	684
136	108	681
137	108	677
138	108	674
139	109	671
140	109	667
141	109	663
142	110	664
143	111	661
144	111	658
145	111	655
146	112	651
147	112	648
148	113	645
149	113	642
150	114	646
151	115	643
152	115	640
153	115	637
154	116	634
155	117	637
156	118	635
157	118	632
158	119	632
159	120	630
160	120	626
161	120	625
162	121	623
163	121	620
164	122	618
165	122	616
166	123	614
167	123	612
168	124	610
169	124	608
170	125	606
171	125	603
172	125	601
173	126	599
174	126	597
175	127	595
176	127	593
177	127	590
178	128	588
179	128	586
180	129	584
181	129	581
182	129	579
183	130	577
184	130	575
185	131	573
186	131	572
187	132	570
188	132	569
189	133	567
190	133	565
191	133	563
192	134	561
193	134	559
194	135	557
195	135	555
196	135	553
197	136	551
198	136	549
199	136	547
200	137	545
201	137	543
202	138	541
203	138	539
204	138	538
205	139	536
206	139	534
207	139	532
208	140	530
209	140	528
210	140	526
211	141	525
212	141	523
213	142	521
214	142	519
215	142	518
216	143	516
217	143	514
218	143	513
219	144	511
220	144	510
221	145	508
222	145	508
223	146	506
224	146	504
225	146	503
226	147	501
227	147	500
228	148	499
229	148	498
230	149	497
231	149	495
232	150	494
233	150	492
234	150	491
235	151	489
236	151	487
237	151	486
238	152	484
239	152	483
240	152	481
241	153	480
242	153	478
243	154	477
244	154	475
245	154	474
246	155	473
247	155	471
248	155	470
249	156	468
250	156	467
251	157	466
252	157	464
253	157	463
254	158	461
255	158	460
256	158	459
257	159	457
258	159	456
259	159	455
260	160	454
261	160	452
262	161	451
263	161	449
264	161	448
265	162	447
266	162	446
267	162	445
268	163	444
269	163	443
270	164	442
271	164	441
272	165	439
273	165	439
274	166	437
275	166	436
276	166	435
277	167	434
278	167	432
279	167	431
280	168	430
281	168	429
282	168	428
283	169	426
284	169	425
285	170	424
286	170	423
287	170	422
288	171	421
289	171	420
290	171	418
291	172	417
292	172	416
293	173	415
294	173	414
295	173	413
296	174	412
297	174	411
298	174	409
299	175	408
300	175	407
301	175	406
302	176	405
303	176	404
304	177	403
305	177	402
306	177	401
307	178	400
308	178	399
309	179	398
310	179	398
311	180	397
312	180	396
313	180	395
314	181	394
315	181	393
316	182	392
317	182	391
318	183	391
319	183	390
320	184	389
321	184	388
322	184	387
323	185	386
324	185	385
325	185	384
326	186	383
327	186	382
328	187	381
329	187	380
330	187	379
331	188	378
332	188	377
333	188	376
334	189	375
335	189	374
336	190	374
337	190	373
338	190	372
339	191	371
340	191	370
341	193	371
342	194	371
343	194	371
344	195	371
345	196	370
346	196	370
347	197	369
348	197	369
349	198	368
350	198	367
351	199	366
352	199	366
353	200	365
354	200	364
355	201	363
356	201	362
357	201	362
358	202	361
359	203	360
360	203	360
361	203	359
362	204	358
363	204	357
364	205	357
365	205	356
366	206	355
367	206	354
368	207	354
369	207	353
370	208	353
371	209	352
372	209	352
373	209	351
374	210	350
375	210	349
376	211	348
377	211	347
378	211	347
379	212	346
380	212	345
381	213	344
382	213	343
383	213	342
384	214	342
385	214	341
386	214	340
387	215	339
388	215	338
389	215	337
390	216	336
391	216	336
392	217	335
393	217	334
394	217	333
395	218	332
396	218	331
397	218	331
398	219	330
399	219	329
400	219	328
401	220	327
402	220	326
403	221	326
404	221	325
405	222	325
406	223	325
407	223	324
408	224	323
409	224	323
410	225	322
411	225	322
412	226	321
413	226	320
414	227	320
415	227	319
416	227	318
417	228	317
418	228	317
419	229	316
420	229	315
421	230	315
422	230	314
423	230	313
424	231	313
